name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Best overall,Best position,Growth,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Total defending,Marking,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,International reputation,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace
Marc Jurado RB CDM,18,60,78,"Manchester United
2021 ~ 2023",268419,"178cm / 5'10""",65kg / 143lbs,Right,63,RM,18,€600K,€4K,€1.5M,265,62,45,51,59,48,303,60,67,54,62,60,366,71,75,79,57,84,273,54,70,57,50,42,284,52,54,65,64,49,68,166,59,55,52,52,8,13,13,10,8,1709,353,1,73,48,61,63,55
J. Feeney CB,17,57,80,"Aston Villa
2021 ~ 2025",268550,"194cm / 6'4""",78kg / 172lbs,Right,59,CB,23,€500K,€500,€1.5M,201,37,27,54,53,30,186,32,32,37,35,50,238,49,50,35,52,52,243,47,60,46,65,25,212,51,56,25,37,43,61,178,56,64,58,56,11,13,13,5,14,1314,279,1,50,31,42,41,58
N. Cambiaghi ST CAM LW,21,71,81,"Empoli
Jun 30, 2023 On loan",268703,"173cm / 5'8""",74kg / 163lbs,Right,73,ST,10,€4.2M,€22K,€0,329,65,72,62,68,62,307,75,60,46,54,72,385,77,79,78,73,78,335,76,57,75,64,63,302,72,38,73,61,58,63,100,27,41,32,55,7,12,8,14,14,1813,389,1,78,70,62,74,37
J. Bennette LM,18,66,80,"Sunderland
2022 ~ 2026",268709,"173cm / 5'8""",62kg / 137lbs,Left,67,CAM,14,€2M,€2K,€5.1M,261,58,62,34,61,46,277,71,56,33,53,64,388,85,82,85,60,76,260,56,49,58,43,54,228,31,24,63,61,49,49,77,25,28,24,53,14,11,7,12,9,1544,340,1,83,58,58,69,27
M. Waad CDM CB LWB,22,64,72,"Qatar
Free",268775,"183cm / 6'0""",68kg / 150lbs,Left,66,CB,8,€0,€0,€0,271,53,43,60,64,51,294,59,55,53,65,62,309,70,68,57,60,54,352,74,72,65,76,65,290,65,62,53,54,56,51,190,63,65,62,50,9,14,8,12,7,1756,376,1,69,55,59,59,63
Mario Gila CB,21,64,75,"Lazio
2022 ~ 2027",268804,"185cm / 6'1""",80kg / 176lbs,Right,66,CB,11,€1.2M,€6K,€2.3M,250,47,28,69,65,41,262,59,42,36,63,62,320,69,66,60,58,67,303,54,67,65,68,49,219,60,61,24,36,38,63,194,62,67,65,54,14,10,10,6,14,1602,349,1,67,38,53,61,64
Y. Attiat-Allah LB,27,73,73,"Morocco
Free",268866,"176cm / 5'9""",70kg / 154lbs,Left,73,LB,0,€0,€0,€0,296,72,51,60,68,45,333,69,67,62,63,72,367,78,79,71,67,72,330,59,72,81,68,50,307,65,68,58,61,55,60,204,67,69,68,54,14,14,11,8,7,1891,406,1,79,53,66,70,67
H. Ali RW LW,21,62,71,"Qatar
Free",268972,"169cm / 5'7""",65kg / 143lbs,Right,62,RW,9,€0,€0,€0,250,54,54,39,54,49,266,64,49,45,48,60,399,91,78,85,57,88,240,54,46,50,39,51,225,42,27,58,51,47,54,90,25,35,30,48,14,14,8,5,7,1518,327,1,84,53,52,65,30
A. Gaaei RB RW,19,61,75,"Viborg
2021 ~ 2026",269153,"183cm / 6'0""",75kg / 165lbs,Right,62,RM,14,€750K,€1K,€1.4M,240,62,42,45,57,34,252,61,45,34,50,62,343,74,75,68,57,69,250,32,57,64,58,39,257,55,51,55,55,41,48,164,52,57,55,50,10,15,6,13,6,1556,344,1,75,40,55,62,53
D. Coppola CB,18,71,80,"Hellas Verona
2021 ~ 2027",269181,"192cm / 6'4""",78kg / 172lbs,Right,73,CB,9,€3.7M,€5K,€7.4M,240,40,36,69,66,29,249,50,47,36,62,54,274,61,61,40,69,43,293,59,74,55,74,31,272,71,70,35,52,44,58,217,75,73,69,44,10,8,7,14,5,1589,348,1,61,40,55,51,72
W. Amey CB,16,61,81,"Bologna
2021 ~ 2025",269183,"187cm / 6'2""",75kg / 165lbs,Right,63,CB,20,€850K,€500,€2.3M,249,52,32,65,62,38,221,41,44,33,54,49,276,54,64,47,53,58,292,63,71,60,71,27,246,62,55,41,41,47,55,182,56,66,60,52,7,14,7,12,12,1518,323,1,60,39,52,46,60
G. Oristanio CAM ST,19,65,79,"FC Volendam
Jun 30, 2023 On loan",269276,"174cm / 5'9""",62kg / 137lbs,Left,68,LM,14,€1.7M,€8K,€0,295,61,64,49,66,55,314,68,58,57,64,67,378,79,86,76,56,81,287,66,57,68,37,59,250,48,24,61,59,58,62,129,43,42,44,41,6,8,9,8,10,1694,364,1,83,63,62,68,40
A. Buttaro CB RB RM,19,64,80,"Palermo
2021 ~ 2025",269350,"183cm / 6'0""",80kg / 176lbs,Right,66,CB,16,€1.4M,€650,€3.1M,296,59,55,63,60,59,280,56,58,51,58,57,345,77,79,66,61,62,329,68,70,65,75,51,297,73,60,57,55,52,55,187,60,64,63,54,9,12,11,8,14,1788,385,1,78,57,58,58,62
P. Aning LB LM,18,62,82,"Borussia Dortmund II
2022 ~ 2026",269831,"176cm / 5'9""",71kg / 157lbs,Left,65,LM,20,€1.1M,€500,€2.7M,230,65,35,32,61,37,262,70,49,35,42,66,398,84,82,85,57,90,253,44,72,70,39,28,270,68,56,57,47,42,52,158,50,53,55,59,14,8,13,12,12,1630,349,1,83,37,54,70,51
Y. Lagha ST,18,64,82,"Olympique Lyonnais
2022 ~ 2025",269853,"173cm / 5'8""",70kg / 154lbs,Right,66,ST,18,€1.5M,€5K,€3.8M,283,36,67,63,58,59,264,63,54,45,40,62,332,67,73,68,59,65,312,65,64,55,69,59,240,43,19,62,52,64,55,56,17,12,27,49,11,5,5,13,15,1536,328,1,70,64,49,63,22
M. Loune CM CAM,18,59,78,"Eintracht Frankfurt
2022 ~ 2025",269993,"172cm / 5'8""",70kg / 154lbs,Right,64,CAM,19,€575K,€1K,€1.3M,265,55,52,38,65,55,308,67,61,56,62,62,333,70,55,71,59,78,247,56,49,54,34,54,248,44,36,56,61,51,53,136,45,46,45,59,9,13,14,8,15,1596,327,1,62,54,61,65,43
G. Rukavina LW LM RW,18,65,82,"Dinamo Zagreb
2021 ~ 2028",270292,"180cm / 5'11""",75kg / 165lbs,Right,65,LW,17,€1.8M,€500,€5.1M,243,51,59,37,58,38,265,72,46,39,39,69,383,88,86,87,55,67,278,54,59,56,53,56,238,56,16,60,53,53,61,75,21,26,28,46,8,10,7,13,8,1528,344,1,87,56,51,71,24
B. Bouanani RM CAM CF,17,67,79,"Nice
2022 ~ 2027",270465,"172cm / 5'8""",64kg / 141lbs,Left,68,CAM,12,€2.3M,€2K,€4.8M,300,66,61,45,70,58,322,71,65,55,62,69,343,74,73,72,47,77,287,65,51,61,51,59,249,38,26,60,66,59,57,92,28,34,30,55,10,7,9,14,15,1648,351,1,73,61,66,69,31
Tiago Santos RB,19,71,81,"Estoril
2022 ~ 2025",270559,"175cm / 5'9""",71kg / 157lbs,Right,72,RWB,10,€3.9M,€3K,€9M,258,67,39,37,66,49,321,75,51,50,72,73,377,82,80,79,66,70,265,50,56,70,48,41,286,51,60,63,59,53,70,214,71,74,69,52,10,7,15,7,13,1773,384,1,81,44,64,74,66
W. Odobert LM LW,17,67,81,"Troyes
2022 ~ 2027",270579,"182cm / 6'0""",75kg / 165lbs,Right,68,CAM,14,€2.3M,€850,€6M,285,59,67,44,64,51,288,74,48,46,48,72,341,79,71,62,67,62,247,67,47,46,42,45,244,32,23,68,58,63,52,81,28,26,27,45,5,10,12,11,7,1531,334,1,75,62,58,70,28
D. Kameri CAM,18,66,83,"Salzburg
2022 ~ 2026",270999,"181cm / 5'11""",76kg / 168lbs,Right,68,CAM,17,€2.2M,€3K,€4.7M,296,58,59,52,65,62,324,72,67,58,56,71,350,74,73,75,58,70,326,73,55,64,65,69,271,53,42,58,65,53,48,110,28,41,41,55,15,14,5,11,10,1732,369,1,73,64,62,70,38
P. Nuamah CM CAM,16,58,80,"Brescia
2022 ~ 2025",271013,"179cm / 5'10""",72kg / 159lbs,Right,62,RM,22,€625K,€500,€1.6M,283,55,51,56,64,57,298,59,65,53,60,61,340,73,73,67,57,70,312,63,78,56,60,55,274,60,54,52,55,53,58,166,55,56,55,46,6,12,9,14,5,1719,363,1,73,55,59,61,55
A. Fontanarosa CB LB,19,67,77,"Inter
2022 ~ 2025",271572,"185cm / 6'1""",71kg / 157lbs,Left,69,CB,10,€2.1M,€8K,€4M,302,61,59,68,69,45,286,63,51,46,60,66,342,77,74,67,58,66,303,70,68,52,65,48,300,71,65,50,56,58,68,202,65,69,68,54,13,8,13,13,7,1789,388,1,75,58,61,64,67
Y. Minteh RW LW,17,61,78,"OB
2022 ~ 2024",271800,"180cm / 5'11""",65kg / 143lbs,Left,61,RW,17,€825K,€550,€1.5M,237,48,58,40,50,41,249,63,47,38,38,63,396,85,87,88,54,82,226,46,45,53,34,48,223,46,24,54,54,45,56,61,20,21,20,43,9,8,7,11,8,1435,317,1,86,52,48,66,23
Marc Casadó CDM CM,18,64,78,"FC Barcelona
2022 ~ 2024",272600,"172cm / 5'8""",66kg / 146lbs,Right,67,CAM,14,€1.3M,€6K,€3.5M,270,45,55,60,69,41,305,64,58,44,67,72,313,63,61,63,64,62,279,56,65,55,50,53,284,53,62,63,64,42,61,177,60,62,55,57,12,14,11,8,12,1685,357,1,62,54,61,66,61
C. Mawissa Elebi CB LB RB,17,60,82,"Toulouse
2022 ~ 2026",272785,"185cm / 6'1""",77kg / 170lbs,Left,62,CB,22,€725K,€500,€2.2M,211,47,26,53,57,28,190,38,31,28,45,48,283,64,59,47,55,58,266,43,72,67,63,21,207,49,59,29,28,42,48,192,59,66,67,51,11,6,8,13,13,1400,302,1,61,29,45,44,61
R. Květ CAM CDM,24,71,75,"Viktoria Plzeň
2023 ~ 2025",272872,"187cm / 6'2""",84kg / 185lbs,Right,73,CAM,4,€2.7M,€650,€6.1M,328,68,71,49,74,66,338,71,64,69,63,71,343,73,72,71,71,56,360,80,54,78,76,72,326,61,62,65,70,68,69,173,58,59,56,52,14,11,6,10,11,1920,414,1,72,72,70,70,58
C. Hughes CB,18,62,77,"Wigan Athletic
2021 ~ 2027",272895,"185cm / 6'1""",80kg / 176lbs,Right,64,CB,15,€875K,€600,€2.2M,199,30,23,60,61,25,212,45,26,25,62,54,266,52,55,44,60,55,255,41,67,60,65,22,243,60,64,31,46,42,61,184,63,61,60,37,5,10,5,9,8,1396,305,1,54,28,48,50,62
I. Stoica ST RW LW,19,63,77,"Universitatea Cluj
Jun 30, 2023 On loan",247955,"180cm / 5'11""",68kg / 150lbs,Right,66,RM,14,€1.1M,€2K,€0,290,60,61,52,61,56,301,64,68,47,58,64,377,80,82,78,60,77,319,68,66,65,62,58,259,61,25,65,50,58,60,78,28,25,25,44,7,10,6,12,9,1668,359,1,81,62,58,66,29
D. Ramaj GK,20,66,78,"Eintracht Frankfurt
2021 ~ 2027",248478,"189cm / 6'2""",81kg / 179lbs,Right,66,GK,12,€1.8M,€4K,€3.4M,61,10,7,11,25,8,76,12,12,11,26,15,167,23,25,29,50,40,203,52,52,26,64,9,95,24,12,7,35,17,34,28,9,9,10,335,69,64,69,64,69,965,359,1,69,64,69,69,24
M. Wieffer CDM CM,22,73,80,"Feyenoord
2022 ~ 2027",248793,"188cm / 6'2""",76kg / 168lbs,Right,74,CDM,7,€6M,€8K,€9.6M,313,63,58,73,77,42,311,69,54,42,72,74,329,70,68,60,66,65,319,57,74,70,76,42,310,80,71,57,67,35,77,203,66,72,65,52,7,12,14,12,7,1837,405,1,69,53,69,70,69
Sergio Camello ST,21,74,84,"Rayo Vallecano
Jun 30, 2023 On loan",248805,"177cm / 5'10""",69kg / 152lbs,Right,76,ST,10,€9.5M,€32K,€0,324,44,79,67,68,66,316,77,67,48,46,78,358,70,72,69,75,72,334,74,67,66,56,71,267,42,23,78,65,59,69,63,32,18,13,56,13,8,13,11,11,1718,364,1,71,75,58,76,28
D. Bakwa RW LM RM,19,68,81,"Bordeaux
2019 ~ 2025",250789,"179cm / 5'10""",77kg / 170lbs,Right,70,CAM,13,€2.9M,€2K,€6.9M,287,57,67,44,67,52,308,72,65,47,54,70,371,79,80,78,64,70,303,59,47,71,68,58,253,30,35,63,66,59,65,81,27,26,28,45,7,12,15,6,5,1648,365,1,80,62,62,71,30
C. Boyce-Clarke GK,19,59,75,"Reading
2020 ~ 2023",250831,"183cm / 6'0""",79kg / 174lbs,Right,59,GK,16,€525K,€1K,€1.3M,68,9,5,13,36,5,82,7,12,11,34,18,152,29,26,25,51,21,157,47,35,20,49,6,87,20,15,5,38,9,29,34,8,13,13,298,62,57,63,56,60,878,326,1,62,57,63,60,28
T. Holeš CDM CB,29,77,77,"Slavia Praha
2019 ~ 2026",251116,"180cm / 5'11""",73kg / 161lbs,Right,77,CDM,0,€9M,€1K,€19.8M,364,77,68,77,75,67,338,71,63,55,75,74,378,75,75,73,74,81,393,74,82,83,79,75,354,80,77,75,68,54,74,228,76,76,76,45,9,10,8,13,5,2100,446,1,75,70,72,73,76
I. Van der Brempt RB RW,20,67,78,"Salzburg
2022 ~ 2026",251464,"187cm / 6'2""",76kg / 168lbs,Right,71,RM,11,€2.1M,€6K,€3.6M,271,66,60,52,67,26,295,72,52,38,63,70,356,80,83,69,63,61,315,60,67,69,74,45,309,73,60,67,66,43,58,180,59,61,60,52,5,14,10,9,14,1778,401,1,82,55,64,69,59
R. Nteka ST CAM,24,72,77,"Elche
Jun 30, 2023 On loan",251756,"189cm / 6'2""",75kg / 165lbs,Left,74,ST,5,€3.6M,€14K,€0,330,56,70,71,69,64,317,71,57,51,65,73,370,75,72,77,68,78,388,74,80,78,87,69,352,77,63,72,67,73,66,150,41,55,54,51,5,6,14,11,15,1958,416,1,73,71,64,72,54
A. Colpani CM CAM CF,23,74,81,"Monza
2022 ~ 2026",251988,"184cm / 6'0""",75kg / 165lbs,Left,76,CM,7,€8.5M,€34K,€16.2M,331,66,58,60,79,68,369,76,75,64,77,77,359,73,79,72,69,66,342,72,62,77,64,67,313,47,62,68,74,62,72,192,62,68,62,48,10,9,6,12,11,1954,417,1,76,64,74,75,64
Luquinha CAM CM RM,21,72,83,"Portimonense
2019 ~ 2024",251990,"167cm / 5'6""",65kg / 143lbs,Right,74,CAM,11,€5.5M,€5K,€12.7M,300,77,60,30,73,60,347,74,64,65,70,74,399,79,73,91,66,90,281,67,56,63,39,56,269,42,24,66,77,60,71,108,39,37,32,41,6,8,15,6,6,1745,366,1,76,61,73,76,34
K. Piątkowski CB RWB,22,71,78,"Gent
Jun 30, 2023 On loan",252018,"191cm / 6'3""",83kg / 183lbs,Right,73,CB,7,€3.5M,€13K,€0,268,65,41,70,67,25,289,62,58,34,68,67,374,79,82,73,68,72,362,68,81,82,84,47,300,75,68,59,62,36,68,208,68,71,69,62,13,15,10,12,12,1863,409,1,81,47,64,66,69
D. Males CAM RM,21,68,78,"Basel
Jun 30, 2023 On loan",252526,"188cm / 6'2""",76kg / 168lbs,Left,71,LM,10,€2.7M,€15K,€0,307,62,66,51,68,60,336,73,66,63,63,71,356,76,77,73,60,70,338,70,70,69,73,56,266,40,23,68,67,68,66,115,30,43,42,57,14,14,10,11,8,1775,380,1,77,65,66,71,36
C. Ramsay RB RWB,18,64,81,"Liverpool
2022 ~ 2027",252897,"177cm / 5'10""",68kg / 150lbs,Right,64,RB,17,€1.4M,€5K,€3.5M,237,69,33,50,58,27,302,65,61,54,55,67,352,77,79,75,55,66,299,66,61,64,65,43,279,64,56,57,60,42,60,172,56,59,57,47,13,8,9,9,8,1688,367,1,78,43,60,66,56
B. Traoré CM CDM,20,66,79,"Wolverhampton Wanderers
Jun 30, 2023 On loan",252975,"183cm / 6'0""",67kg / 148lbs,Right,69,CDM,13,€2.1M,€2K,€0,257,47,42,56,71,41,305,67,52,47,69,70,333,62,66,69,66,70,315,64,64,63,73,51,304,71,62,54,65,52,62,189,59,68,62,59,12,10,15,11,11,1762,376,1,64,49,63,68,62
G. Simeone ST LM,19,69,81,"Real Zaragoza
Jun 30, 2023 On loan",253396,"173cm / 5'8""",70kg / 154lbs,Right,71,ST,12,€3.3M,€13K,€0,315,60,72,66,59,58,264,61,53,46,42,62,392,84,82,79,65,82,361,68,73,77,81,62,293,74,25,70,62,62,59,62,18,20,24,55,8,14,7,14,12,1742,374,1,83,68,56,64,25
Raúl García ST,21,71,80,"Mirandés
Jun 30, 2023 On loan",253416,"192cm / 6'4""",70kg / 154lbs,Right,73,ST,9,€4.2M,€12K,€0,312,32,75,78,72,55,316,68,53,59,64,72,304,66,73,60,60,45,335,72,60,59,74,70,281,60,15,69,66,71,65,64,19,17,28,52,12,15,13,6,6,1664,360,1,70,72,60,67,24
C. Campbell LM,19,62,78,"Wycombe Wanderers
2019 ~ 2026",254113,"180cm / 5'11""",72kg / 159lbs,Right,63,RM,16,€1M,€1K,€2.4M,266,57,55,42,58,54,312,66,64,63,54,65,354,77,74,76,53,74,290,64,59,55,53,59,251,55,31,52,56,57,56,130,42,45,43,48,11,11,12,7,7,1651,351,1,75,58,57,66,41
C. Cresswell CB,19,70,84,"Millwall
Jun 30, 2023 On loan",254121,"191cm / 6'3""",77kg / 170lbs,Right,72,CB,14,€3.5M,€10K,€0,222,33,23,73,69,24,223,46,25,30,60,62,255,54,53,40,55,53,291,39,80,65,84,23,236,74,66,24,33,39,60,205,67,70,68,56,11,11,13,10,11,1488,326,1,53,27,49,52,68
B. Białek ST,20,68,79,"Vitesse
Jun 30, 2023 On loan",254267,"191cm / 6'3""",83kg / 183lbs,Right,70,ST,11,€2.7M,€13K,€0,292,31,69,67,63,62,252,64,45,36,39,68,313,73,62,51,64,63,351,71,73,66,80,61,254,60,24,67,44,59,62,107,24,40,43,59,14,13,6,13,13,1628,352,1,67,67,47,64,35
Francés CB,19,73,82,"Real Zaragoza
2019 ~ 2025",254310,"180cm / 5'11""",70kg / 154lbs,Right,75,CB,9,€6M,€5K,€10.8M,264,67,28,72,70,27,275,58,47,42,66,62,361,76,72,69,73,71,303,47,77,73,74,32,306,73,76,51,58,48,64,218,74,73,71,48,14,12,9,6,7,1775,383,1,74,35,64,62,74
Reinier RM LM CAM,20,70,80,"Girona
Jun 30, 2023 On loan",254544,"185cm / 6'1""",82kg / 181lbs,Right,71,CAM,10,€3.5M,€44K,€0,326,58,67,59,72,70,335,77,72,55,57,74,352,73,66,77,66,70,319,71,54,66,67,61,287,60,31,67,64,65,73,126,42,45,39,50,13,8,13,5,11,1795,383,1,69,67,65,75,42
J. Cifuentes CM,23,72,79,"Los Angeles FC
2020 ~ 2026",255137,"175cm / 5'9""",70kg / 154lbs,Right,75,CDM,7,€4.7M,€6K,€8M,300,56,60,68,78,38,311,73,63,34,68,73,362,67,74,70,74,77,362,74,73,77,79,59,321,77,64,70,73,37,70,216,74,76,66,54,14,10,8,14,8,1926,422,1,71,61,68,73,71
Y. Ndayishimiye CB CDM CM,23,75,81,"Nice
2023 ~ 2027",255533,"183cm / 6'0""",79kg / 174lbs,Right,77,CB,6,€8M,€28K,€16.8M,299,56,46,75,73,49,328,71,57,59,66,75,349,70,75,68,73,63,341,60,79,78,83,41,312,66,74,56,59,57,70,224,76,75,73,51,12,9,12,12,6,1904,411,1,73,49,64,72,75
Samú Costa CDM CM,21,73,81,"Almería
2021 ~ 2026",255566,"185cm / 6'1""",84kg / 185lbs,Left,74,CDM,8,€6.5M,€13K,€15.6M,293,55,57,57,76,48,306,66,45,50,74,71,330,68,61,68,69,64,367,78,68,79,72,70,321,73,67,61,68,52,66,212,70,72,70,48,6,7,12,14,9,1877,405,1,64,63,67,68,69
R. Hatate CM,24,75,80,"Celtic
2022 ~ 2025",255742,"171cm / 5'7""",70kg / 154lbs,Right,78,CAM,5,€8.5M,€40K,€15.9M,337,66,69,52,78,72,352,76,66,55,77,78,385,78,68,82,72,85,356,78,65,76,63,74,333,60,67,75,77,54,75,192,65,68,59,38,5,7,8,12,6,1993,426,1,73,72,74,77,64
B. Šutalo CB,22,72,77,"Dinamo Zagreb
2022 ~ 2027",255891,"188cm / 6'2""",72kg / 159lbs,Right,74,CB,5,€3.3M,€600,€7.5M,261,62,38,66,65,30,253,61,41,29,58,64,320,62,60,73,73,52,301,68,65,59,69,40,279,72,80,38,42,47,57,218,75,74,69,57,13,14,14,11,5,1689,365,1,61,44,56,63,74
Ö. Beyaz CAM CM,18,64,76,"VfB Stuttgart
2021 ~ 2025",256306,"171cm / 5'7""",65kg / 143lbs,Left,66,CAM,12,€1.4M,€2K,€2.8M,286,64,54,49,70,49,313,67,54,58,66,68,363,65,65,85,58,90,222,57,50,36,38,41,261,49,31,62,65,54,64,158,47,54,57,44,8,10,8,7,11,1647,340,1,65,52,66,70,47
L. Oyen LM CAM,19,68,83,"Genk
2019 ~ 2027",256307,"174cm / 5'9""",69kg / 152lbs,Right,69,RM,15,€2.9M,€4K,€6.2M,288,64,62,47,67,48,322,73,64,52,61,72,375,82,75,82,55,81,289,56,69,64,42,58,249,46,35,56,63,49,57,116,37,42,37,60,9,14,14,13,10,1699,361,1,78,58,64,72,39
Francho Serrano CM RM,20,67,80,"Real Zaragoza
2020 ~ 2025",256341,"177cm / 5'10""",72kg / 159lbs,Right,69,CM,13,€2.4M,€3K,€5.3M,300,61,57,55,71,56,324,67,60,57,69,71,323,60,61,70,60,72,307,60,51,77,63,56,297,54,56,58,70,59,68,172,54,62,56,46,13,12,7,8,6,1769,375,1,61,58,67,68,57
L. King CB,18,60,80,"Rangers
2020 ~ 2026",256419,"185cm / 6'1""",75kg / 165lbs,Right,62,CB,20,€650K,€2K,€1.8M,193,34,23,56,56,24,221,48,38,31,50,54,307,68,60,62,51,66,258,42,70,55,70,21,209,58,60,21,36,34,59,181,57,64,60,48,12,7,7,10,12,1417,313,1,64,27,45,53,60
M. Fofana RM LM CF,17,64,82,"Gent
2020 ~ 2024",256420,"169cm / 5'7""",61kg / 134lbs,Left,65,CAM,18,€1.5M,€650,€3.2M,254,52,57,32,60,53,301,74,55,52,50,70,389,83,78,88,54,86,277,55,80,49,37,56,219,31,23,47,60,58,57,50,19,16,15,50,11,6,13,11,9,1540,326,1,80,56,56,73,20
A. Sarr ST LM,21,68,79,"Olympique Lyonnais
2023 ~ 2027",256453,"188cm / 6'2""",83kg / 183lbs,Right,70,ST,11,€2.7M,€17K,€5.7M,302,55,71,60,64,52,289,72,61,41,48,67,371,89,92,74,63,53,319,68,47,69,73,62,259,49,22,63,63,62,60,60,17,24,19,44,8,9,7,5,15,1644,376,1,91,67,58,69,25
A. Molinas CAM CM,21,73,81,"Tigre
Dec 31, 2023 On loan",256502,"175cm / 5'9""",67kg / 148lbs,Right,75,CAM,8,€7M,€10K,€0,283,69,56,39,75,44,344,75,57,60,76,76,374,80,67,83,71,73,302,60,55,75,52,60,306,59,54,70,79,44,74,151,55,52,44,52,9,8,10,10,15,1812,389,1,73,57,73,76,51
T. Lemperle RM ST LM,20,66,79,"FC Köln
2020 ~ 2025",256564,"187cm / 6'2""",78kg / 172lbs,Right,67,RM,13,€2.1M,€6K,€5.1M,293,64,68,43,63,55,298,73,53,45,55,72,316,70,72,67,48,59,271,66,34,55,65,51,249,49,27,65,53,55,49,93,30,33,30,41,9,10,8,7,7,1561,352,1,71,63,59,69,32
W. Omari CB,22,76,82,"Rennes
2019 ~ 2026",256854,"188cm / 6'2""",74kg / 163lbs,Right,78,CB,6,€11M,€32K,€23.1M,250,44,25,77,73,31,267,59,44,32,64,68,319,63,72,56,74,54,302,52,72,70,75,33,274,72,76,34,51,41,69,232,77,79,76,53,9,7,13,10,14,1697,372,1,68,34,58,62,77
I. Doukouré CB RB,18,67,81,"Strasbourg
2022 ~ 2026",257090,"183cm / 6'0""",80kg / 176lbs,Right,69,CB,14,€2.2M,€2K,€5.8M,204,37,20,62,62,23,220,53,31,22,52,62,304,61,67,50,64,62,275,52,68,60,75,20,240,59,66,31,47,37,49,204,66,70,68,60,9,14,14,11,12,1507,332,1,64,28,49,56,67
L. Blanco LWB LM LB,23,71,78,"Elche
2022 ~ 2027",257185,"176cm / 5'9""",70kg / 154lbs,Left,71,LWB,7,€3.6M,€10K,€8.6M,258,75,35,49,65,34,307,70,66,37,65,69,371,77,79,74,68,73,308,55,61,77,66,49,265,64,57,53,48,43,55,197,65,66,66,37,8,6,8,7,8,1743,382,1,78,43,62,69,62
M. Okoye GK,22,70,78,"Watford
2022 ~ 2027",257288,"198cm / 6'6""",94kg / 207lbs,Right,70,GK,8,€3.1M,€14K,€6.5M,77,15,6,11,39,6,101,14,13,11,45,18,184,23,26,32,62,41,217,49,53,34,75,6,102,26,18,8,36,14,37,48,16,16,16,347,70,69,65,70,73,1076,371,1,70,69,65,73,24
R. Colwill CAM RW LW,20,67,79,"Cardiff City
2020 ~ 2023",257437,"193cm / 6'4""",85kg / 187lbs,Right,69,CAM,12,€2.5M,€9K,€5.1M,303,51,66,62,69,55,319,68,57,60,64,70,323,72,69,62,65,55,335,68,62,65,74,66,266,55,33,68,65,45,64,126,29,52,45,52,6,13,7,12,14,1724,374,1,70,65,63,67,42
L. Neilson CB RB,19,64,80,"Hearts
2022 ~ 2025",257717,"184cm / 6'0""",73kg / 161lbs,Right,66,CB,16,€1.4M,€950,€3.4M,211,36,23,65,64,23,224,53,33,28,54,56,302,65,67,54,57,59,252,31,67,53,73,28,233,68,58,37,35,35,57,188,63,66,59,50,13,11,6,5,15,1460,326,1,66,27,48,55,63
J. Adamu ST,21,69,79,"Salzburg
2020 ~ 2025",257877,"183cm / 6'0""",75kg / 165lbs,Right,71,ST,10,€3.2M,€11K,€5.4M,306,41,69,69,59,68,287,66,63,58,36,64,381,79,83,80,66,73,368,72,89,66,75,66,271,48,21,71,59,72,70,43,18,13,12,49,7,5,13,15,9,1705,359,1,81,69,52,67,22
G. Infantino RM LM,19,67,80,"Rosario Central
2020 ~ 2024",258104,"179cm / 5'10""",74kg / 163lbs,Left,68,LM,13,€2.4M,€3K,€5.1M,290,63,61,48,65,53,324,71,64,57,62,70,356,76,74,73,59,74,309,65,62,65,58,59,262,54,32,63,59,54,64,117,37,41,39,44,8,11,13,5,7,1702,367,1,75,61,63,70,39
H. Mejbri CAM CM,19,68,81,"Birmingham City
Jun 30, 2023 On loan",258171,"182cm / 6'0""",70kg / 154lbs,Right,70,CAM,13,€2.9M,€19K,€0,300,68,55,53,70,54,346,69,73,67,69,68,358,72,74,72,66,74,317,68,52,69,66,62,339,85,62,66,70,56,71,190,63,64,63,42,9,5,10,11,7,1892,403,1,73,60,69,69,62
Obrador LB,18,63,80,"Real Madrid
2021 ~ 2024",258507,"182cm / 6'0""",69kg / 152lbs,Left,63,LB,17,€1.2M,€6K,€3.2M,222,56,30,53,55,28,212,57,34,34,35,52,347,78,79,65,56,69,252,26,62,69,62,33,231,54,57,38,39,43,45,183,56,64,63,43,5,9,8,12,9,1490,334,1,79,31,47,56,59
E. Agbadou CB,25,74,80,"Stade de Reims 
2022 ~ 2027",258575,"192cm / 6'4""",86kg / 190lbs,Right,76,CB,6,€6M,€18K,€13.2M,248,36,51,78,61,22,222,58,20,25,58,61,296,58,75,53,69,41,318,61,67,69,88,33,296,84,72,55,51,34,69,216,72,75,69,51,9,7,12,9,14,1647,377,1,67,47,50,59,73
